"","Tripaction"
"532",106334
"533",106338
"534",106341
"535",106345
"536",106349
"537",106353
"538",106358
"539",106363
"540",106369
"541",106373
"542",106470
"543",106476
"544",106484
"545",106488
"546",106496
"547",106504
"548",106507
"549",106516
"550",106521
"551",106561
"552",106567
"553",106574
"554",106575
"555",106585
"556",106589
"557",106606
"558",106826
"559",106833
"560",106835
"561",106840
"562",106845
"563",106855
"564",106860
"565",106866
"566",106872
"567",106874
"568",106877
"569",106881
"570",106885
"571",106889
"572",106894
"573",106899
"574",106986
"575",106996
"576",107005
"577",107012
"578",107022
"579",107035
"580",107041
"581",107051
"582",107061
"583",107072
"584",107084
"585",107085
"586",107101
"587",107109
"588",107118
"589",107129
"590",107132
"591",107263
"592",107280
"593",2000107281
"594",2000178582
"595",2000178602
"596",2000178632
"597",2000178642
"598",2000178672
"599",2000178682
"600",2000178722
"601",2000178732
"602",107320
"603",107331
"604",107332
"605",107344
"606",107421
"607",107428
"608",107438
"609",107440
"610",107448
"611",107471
"612",107482
"613",107490
"614",107498
"615",107503
"616",107510
"617",107516
"618",107517
"619",107528
"620",107529
"621",107536
"622",107653
"623",107657
"624",107663
"625",107669
"626",107670
"627",107675
"628",107680
"629",107684
"630",107690
"631",107691
"632",107697
"633",107700
"634",108188
"635",108201
"636",108215
"637",108225
"638",108250
"639",108258
"640",108180
"641",108243
"642",108421
"643",108435
"644",108439
"645",108444
"646",108452
"647",108459
"648",108460
"649",108470
"650",108473
"651",108479
"652",108488
"653",108489
"654",108497
"655",108500
"656",108505
"657",108515
"658",108429
"659",108760
"660",108767
"661",108779
"662",108798
"663",108801
"664",108809
"665",108839
"666",108846
"667",108850
"668",108854
"669",108858
"670",108861
"671",108914
"672",108924
"673",108936
"674",108942
"675",108951
"676",108960
"677",108969
"678",108978
"679",108987
"680",109040
"681",109059
"682",109070
"683",109073
"684",109078
"685",109081
"686",109097
"687",109101
"688",109109
"689",109185
"690",109195
"691",109204
"692",109212
"693",109220
"694",109227
"695",109238
"696",109246
"697",109256
"698",109257
"699",109268
"700",109280
"701",109283
"702",109298
"703",109309
"704",109310
"705",109322
"706",109344
"707",109347
"708",109353
"709",109359
"710",109366
"711",109372
"712",109375
"713",109380
"714",109385
"715",109381
"716",109391
"717",109395
"718",109406
"719",109417
"720",109425
"721",109431
"722",109434
"723",109573
"724",109580
"725",109585
"726",109592
"727",109595
"728",109604
"729",109609
"730",109612
"731",109617
"732",109623
"733",109628
"734",109631
"735",109635
"736",109647
"737",109648
"738",109657
"739",109618
"740",109690
"741",109726
"742",109730
"743",109737
"744",109745
"745",109749
"746",109756
"747",109713
"748",109722
"749",109761
"750",109767
"751",109774
"752",109778
"753",109788
"754",109793
"755",109794
"756",109802
"757",109806
"758",109808
"759",109813
"760",109818
"761",109819
"762",109824
"763",109830
"764",109834
"765",109836
"766",109889
"767",109898
"768",109906
"769",109908
"770",109913
"771",109920
"772",109928
"773",109933
"774",109936
"775",110000
"776",110006
"777",110011
"778",110014
"779",110023
"780",110030
"781",110039
"782",110045
"783",110050
"784",110054
"785",110060
"786",110063
"787",110070
"788",110076
"789",110084
"790",110091
"791",110099
"792",110279
"793",110287
"794",110295
"795",110304
"796",110309
"797",110321
"798",110331
"799",110340
"800",110348
"801",110356
"802",110363
"803",110369
"804",110377
"805",110384
"806",110395
"807",110401
"808",110412
"809",110633
"810",110644
"811",110649
"812",110654
"813",110659
"814",110665
"815",110670
"816",110673
"817",110680
"818",110685
"819",110690
"820",110694
"821",110701
"822",110704
"823",110710
"824",110715
"825",110877
"826",110884
"827",110892
"828",110903
"829",110912
"830",110917
"831",110922
"832",110938
"833",110883
"834",110971
"835",110980
"836",110990
"837",111003
"838",111013
"839",111024
"840",111036
"841",111049
"842",111052
"843",111081
"844",111089
"845",111104
"846",111115
"847",111125
"848",111134
"849",111149
"850",111154
"851",111168
"852",111322
"853",111324
"854",111329
"855",111336
"856",111341
"857",111346
"858",111356
"859",111367
"860",111692
"861",111706
"862",111719
"863",111728
"864",111745
"865",111752
"866",111769
"867",111777
"868",111789
"869",111481
"870",111494
"871",111509
"872",111520
"873",111533
"874",111544
"875",111547
"876",111557
"877",111567
"878",111578
"879",111579
"880",111840
"881",111850
"882",111859
"883",111869
"884",111881
"885",111897
"886",111900
"887",111904
"888",111909
"889",111913
"890",111918
"891",111921
"892",111924
"893",111929
"894",111938
"895",111939
"896",111946
"897",111966
"898",111972
"899",111979
"900",111986
"901",111998
"902",111999
"903",112097
"904",112102
"905",112109
"906",112121
"907",112128
"908",112134
"909",112170
"910",112171
"911",112183
"912",112188
"913",112194
"914",112201
"915",112206
"916",112213
"917",112219
"918",112278
"919",112283
"920",112286
"921",112293
"922",112297
"923",112303
"924",112308
"925",112311
"926",112318
"927",112418
"928",112433
"929",112434
"930",112453
"931",112458
"932",112470
"933",112483
"934",112497
"935",112551
"936",112563
"937",112575
"938",112576
"939",112592
"940",112598
"941",112609
"942",112622
"943",112630
"944",112833
"945",112843
"946",112848
"947",112854
"948",112860
"949",112866
"950",112875
"951",112881
"952",112890
"953",113082
"954",113099
"955",113108
"956",113123
"957",113133
"958",113134
"959",113135
"960",113149
"961",113161
"962",113210
"963",113221
"964",113232
"965",113243
"966",113253
"967",113263
"968",113273
"969",113282
"970",113377
"971",113402
"972",113403
"973",113421
"974",113428
"975",113442
"976",113451
"977",113464
"978",113505
"979",113515
"980",113521
"981",113527
"982",113542
"983",113551
"984",113557
"985",113644
"986",113649
"987",113657
"988",113665
"989",113672
"990",113686
"991",113819
"992",113839
"993",113849
"994",113859
"995",113869
"996",113917
"997",113920
"998",113928
"999",113932
"1000",113938
"1001",113942
"1002",113947
"1003",113953
"1004",113956
"1005",113963
"1006",113966
"1007",113973
"1008",113977
"1009",113983
"1010",113986
"1011",113993
"1012",113996
"1013",114344
"1014",114357
"1015",114365
"1016",114380
"1017",114387
"1018",114403
"1019",114409
"1020",114426
"1021",114432
"1022",114478
"1023",114490
"1024",114499
"1025",114514
"1026",114530
"1027",114536
"1028",114548
"1029",114554
"1030",114559
"1031",114572
"1032",114579
"1033",114586
"1034",114591
"1035",114597
"1036",114601
"1037",114609
"1038",114614
"1039",114620
"1040",114805
"1041",114819
"1042",114831
"1043",114841
"1044",114851
"1045",114861
"1046",114873
"1047",114883
"1048",114895
"1049",114904
"1050",114915
"1051",114926
"1052",114938
"1053",114947
"1054",114957
"1055",114967
"1056",114977
"1057",114988
"1058",2001178843
"1059",2001178846
"1060",2001178849
"1061",2001178852
"1062",2001178855
"1063",2001178858
"1064",2001178861
"1065",2001178864
"1066",2001178867
"1067",2001178870
"1068",2001178873
"1069",2001178876
"1070",2001178879
"1071",2001178882
"1072",2001178885
"1073",2001178888
"1074",2001178891
"1075",115150
"1076",115162
"1077",115173
"1078",115183
"1079",115193
"1080",115203
"1081",115213
"1082",115224
"1083",115228
"1084",115232
"1085",115236
"1086",115238
"1087",115247
"1088",115256
"1089",115265
"1090",115274
"1091",115284
"1092",115342
"1093",115354
"1094",115365
"1095",115378
"1096",115387
"1097",115398
"1098",115408
"1099",115418
"1100",115430
"1101",115519
"1102",115529
"1103",115539
"1104",115549
"1105",115559
"1106",115569
"1107",115587
"1108",115599
"1109",115603
"1110",115699
"1111",115710
"1112",115720
"1113",115730
"1114",115740
"1115",115750
"1116",115771
"1117",115781
"1118",115792
"1119",115796
"1120",115800
"1121",115805
"1122",115811
"1123",115819
"1124",115823
"1125",116358
"1126",116372
"1127",116376
"1128",116390
"1129",116393
"1130",116408
"1131",116421
"1132",116427
"1133",116441
"1134",116811
"1135",116818
"1136",116826
"1137",116843
"1138",116860
"1139",116866
"1140",116874
"1141",116879
"1142",116884
"1143",116906
"1144",116924
"1145",116926
"1146",116974
"1147",116985
"1148",116993
"1149",117086
"1150",117095
"1151",117109
"1152",117114
"1153",117119
"1154",117120
"1155",117128
"1156",117131
"1157",117139
"1158",117140
"1159",117149
"1160",117154
"1161",117163
"1162",117175
"1163",117185
"1164",117349
"1165",117352
"1166",117369
"1167",117379
"1168",117389
"1169",117400
"1170",117407
"1171",117420
"1172",117426
"1173",117451
"1174",117574
"1175",117580
"1176",117585
"1177",117591
"1178",117596
"1179",117600
"1180",117750
"1181",117751
"1182",117771
"1183",117774
"1184",117786
"1185",117801
"1186",117819
"1187",117831
"1188",117838
"1189",117872
"1190",117884
"1191",117895
"1192",117909
"1193",117921
"1194",117933
"1195",117946
"1196",118045
"1197",118054
"1198",118067
"1199",118077
"1200",118100
"1201",118106
"1202",118123
"1203",118136
"1204",118148
"1205",118794
"1206",118803
"1207",118812
"1208",118822
"1209",118830
"1210",118839
"1211",118848
"1212",118858
"1213",118867
"1214",118895
"1215",118912
"1216",118928
"1217",118936
"1218",119121
"1219",119129
"1220",119148
"1221",119158
"1222",119184
"1223",119185
"1224",119211
"1225",119222
"1226",119231
"1227",119273
"1228",119286
"1229",119306
"1230",119325
"1231",119341
"1232",119352
"1233",119360
"1234",119379
"1235",119394
